2023-05-24T19:16:01.724Z error: Controller Function Name wrappedFetchData 
2023-05-24T19:16:01.730Z error: Error in URL /api/fetch 
2023-05-24T19:16:01.731Z error: Error in getData: Request failed with status code 404 
2023-05-24T19:16:01.733Z error: Function parameters: 
2023-05-24T19:30:40.925Z error: [object Object] 
2023-05-24T19:31:11.970Z error: [object Object] 
2023-05-24T19:32:08.434Z error: {"controllerName":"wrappedFetchData","functionName":"getData","errorInUrl":"/api/fetch","functionParameters":{"body ":{},"params":{},"query":{}},"stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13","errorMessage":"Request failed with status code 404"} 
2023-05-24T19:35:13.440Z error: {"errorInUrl":"/api/fetch","functionParameters":{"body ":{},"params":{},"query":{}},"controllerName":"wrappedFetchData","functionName":"getData","errorMessage":"Request failed with status code 404","stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13"} 
2023-05-24T19:36:33.209Z error: {"errorInUrl":"/api/fetch","functionParameters":{"body ":{},"params":{},"query":{}},"controllerName":"wrappedFetchData","functionName":"getData","errorMessage":"Request failed with status code 404","stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13"} 
2023-05-24T19:41:33.133Z error: {"errorInUrl":"/api/fetch","functionParameters":{"body ":{},"params":{},"query":{}},"controllerName":"wrappedFetchData","functionName":"getData","errorMessage":"Request failed with status code 404","stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13"} 
2023-05-24T19:42:19.565Z error: {"errorInUrl":"/api/fetch","functionParameters":{"body ":{},"params":{},"query":{}},"controllerName":"wrappedFetchData","functionName":"getData","errorMessage":"Request failed with status code 404","stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13"} 
2023-05-24T19:43:29.617Z error: {"errorInUrl":"/api/fetch","functionParameters":{"body ":{},"params":{},"query":{}},"controllerName":"wrappedFetchData","functionName":"getData","errorMessage":"Request failed with status code 404","stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13"} 
2023-05-24T19:43:54.643Z error: {"errorInUrl":"/api/fetch","functionParameters":{"body ":{},"params":{},"query":{}},"controllerName":"wrappedFetchData","functionName":"getData","errorMessage":"Request failed with status code 404","stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13"} 
2023-05-24T19:44:28.105Z error: {"errorInUrl":"/api/fetch","functionParameters":{"body ":{},"params":{},"query":{}},"controllerName":"wrappedFetchData","functionName":"getData","errorMessage":"Request failed with status code 404","stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13"} 
2023-05-24T19:45:15.076Z error: {"errorInUrl":"/api/fetch","functionParameters":{"body ":{},"params":{},"query":{}},"controllerName":"wrappedFetchData","functionName":"getData","errorMessage":"Request failed with status code 404","stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13"} 
2023-05-24T19:46:42.487Z error: {"errorInUrl":"GET localhost:5000 /api/fetch","functionParameters":{"body ":{},"params":{},"query":{}},"controllerName":"wrappedFetchData","functionName":"getData","errorMessage":"Request failed with status code 404","stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13"} 
2023-05-24T19:48:19.449Z error: {"errorInUrl":"GET localhost:5000 /api/fetch","inputParams":{"body ":{},"params":{},"query":{}},"controllerName":"wrappedFetchData","functionName":"getData","errorMessage":"Request failed with status code 404","stackTrace":"AxiosError: Request failed with status code 404\n    at module.exports.asyncWrapper (G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\asyncWrapper.js:17:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Controllers\\fetchData.controller.js:7:16\n    at async G:\\Dev\\Express\\Express-Error-Handler\\Wrappers\\controllersWrapper.js:4:13"} 
